alert_id,soc_id,timestamp,source,severity,alert_type,asset_id,event_ids,analyst_id,status,priority,created_at,closed_at
AL-00022,SOC-002,2026-08-02T19:21:11.623769Z,IDS,HIGH,Port Scan,ASSET-01513,"[""EV-09322""]",AN-00027,CLOSED,4,2026-08-02T19:21:11.623769Z,2026-08-03T08:29:34.623769Z
AL-00023,SOC-002,2026-08-02T23:29:49.684066Z,SIEM,HIGH,Suspicious Login,ASSET-01010,"[""EV-08578""]",AN-00027,CLOSED,4,2026-08-02T23:29:49.684066Z,2026-08-04T19:06:11.684066Z
AL-00024,SOC-002,2026-08-03T06:12:18.710466Z,SIEM,HIGH,Ransomware Behaviour,ASSET-01298,"[""EV-07729""]",AN-00024,CLOSED,4,2026-08-03T06:12:18.710466Z,2026-08-04T11:07:01.710466Z
AL-00025,SOC-002,2026-08-03T06:40:32.288983Z,CASE_MANAGEMENT,CRITICAL,Port Scan,ASSET-01761,"[""EV-05516""]",AN-00020,CLOSED,5,2026-08-03T06:40:32.288983Z,2026-08-07T09:18:33.343473Z
AL-00026,SOC-001,2026-08-03T06:55:09.178397Z,SIEM,HIGH,Brute Force,ASSET-00053,"[""EV-07773""]",AN-00017,CLOSED,4,2026-08-03T06:55:09.178397Z,2026-08-04T21:25:45.178397Z
AL-00027,SOC-002,2026-08-03T07:34:57.645325Z,SIEM,HIGH,Brute Force,ASSET-02176,"[""EV-03927""]",AN-00032,CLOSED,4,2026-08-03T07:34:57.645325Z,2026-08-04T20:07:16.645325Z
AL-00028,SOC-002,2026-08-03T09:44:38.455414Z,CASE_MANAGEMENT,HIGH,Port Scan,ASSET-01790,"[""EV-00612""]",AN-00029,CLOSED,4,2026-08-03T09:44:38.455414Z,2026-08-03T22:10:19.455414Z
AL-00029,SOC-002,2026-08-03T10:20:14.989929Z,CASE_MANAGEMENT,HIGH,Port Scan,ASSET-02061,"[""EV-06461""]",AN-00019,CLOSED,4,2026-08-03T10:20:14.989929Z,2026-08-04T19:37:31.989929Z
AL-00030,SOC-001,2026-08-03T10:30:28.774441Z,IDS,HIGH,Privilege Abuse,ASSET-00019,"[""EV-09889""]",AN-00008,CLOSED,4,2026-08-03T10:30:28.774441Z,2026-08-04T06:04:42.774441Z
AL-00031,SOC-001,2026-08-03T11:06:17.358633Z,CASE_MANAGEMENT,HIGH,Brute Force,ASSET-00172,"[""EV-00607""]",AN-00001,CLOSED,4,2026-08-03T11:06:17.358633Z,2026-08-06T03:56:56.358633Z
AL-00032,SOC-001,2026-08-03T15:05:55.512024Z,FIREWALL,HIGH,Ransomware Behaviour,ASSET-00498,"[""EV-02680""]",AN-00014,CLOSED,4,2026-08-03T15:05:55.512024Z,2026-08-05T23:25:52.899883Z
AL-00033,SOC-001,2026-08-03T15:12:58.638788Z,FIREWALL,HIGH,Phishing Attempt,ASSET-00616,"[""EV-04116""]",AN-00018,CLOSED,4,2026-08-03T15:12:58.638788Z,2026-08-14T16:05:55.176005Z
AL-00034,SOC-001,2026-08-03T15:41:30.252453Z,IDS,HIGH,Ransomware Behaviour,ASSET-00486,"[""EV-05256""]",AN-00015,CLOSED,4,2026-08-03T15:41:30.252453Z,2026-08-04T03:33:47.252453Z
AL-00035,SOC-001,2026-08-03T16:24:23.594388Z,IDS,HIGH,Suspicious Login,ASSET-00500,"[""EV-02300""]",AN-00005,CLOSED,4,2026-08-03T16:24:23.594388Z,2026-08-05T12:59:09.594388Z
AL-00036,SOC-002,2026-08-03T18:18:30.645894Z,CASE_MANAGEMENT,HIGH,C2 Beacon,ASSET-01835,"[""EV-06173""]",AN-00032,CLOSED,4,2026-08-03T18:18:30.645894Z,2026-08-04T12:11:27.645894Z
AL-00037,SOC-002,2026-08-03T18:32:10.872064Z,CASE_MANAGEMENT,HIGH,Suspicious Login,ASSET-01754,"[""EV-09394""]",AN-00025,CLOSED,4,2026-08-03T18:32:10.872064Z,2026-08-04T15:42:00.872064Z
AL-00038,SOC-001,2026-08-03T20:57:31.296811Z,SIEM,HIGH,Brute Force,ASSET-00852,"[""EV-09519""]",AN-00017,CLOSED,4,2026-08-03T20:57:31.296811Z,2026-08-05T08:09:03.296811Z
AL-00039,SOC-001,2026-08-03T23:19:17.599622Z,CASE_MANAGEMENT,HIGH,Port Scan,ASSET-00564,"[""EV-01872""]",AN-00001,CLOSED,4,2026-08-03T23:19:17.599622Z,2026-08-05T05:20:42.599622Z
AL-00040,SOC-002,2026-08-03T23:46:46.204749Z,IDS,HIGH,Suspicious Login,ASSET-02650,"[""EV-01789""]",AN-00036,CLOSED,4,2026-08-03T23:46:46.204749Z,2026-08-05T00:00:05.204749Z
AL-00041,SOC-002,2026-08-04T00:25:06.155589Z,EDR,HIGH,Brute Force,ASSET-01932,"[""EV-04301""]",AN-00028,CLOSED,4,2026-08-04T00:25:06.155589Z,2026-08-04T12:56:25.155589Z
AL-00042,SOC-001,2026-08-04T01:06:31.562669Z,EDR,HIGH,Port Scan,ASSET-00005,"[""EV-01201""]",AN-00008,CLOSED,4,2026-08-04T01:06:31.562669Z,2026-08-04T02:51:54.253790Z
AL-00043,SOC-002,2026-08-04T05:55:43.613572Z,CASE_MANAGEMENT,HIGH,Malware Detected,ASSET-01165,"[""EV-08358""]",AN-00023,CLOSED,4,2026-08-04T05:55:43.613572Z,2026-08-04T07:36:10.251968Z
AL-00044,SOC-002,2026-08-04T11:04:13.865593Z,IDS,HIGH,Data Exfiltration Suspicion,ASSET-02204,"[""EV-04018""]",AN-00031,CLOSED,4,2026-08-04T11:04:13.865593Z,2026-08-05T07:53:29.865593Z
AL-00045,SOC-001,2026-08-04T12:03:26.399977Z,IDS,HIGH,Privilege Abuse,ASSET-00333,"[""EV-01535""]",AN-00010,CLOSED,4,2026-08-04T12:03:26.399977Z,2026-08-08T22:08:37.399977Z
AL-00046,SOC-002,2026-08-04T12:25:49.764091Z,CASE_MANAGEMENT,HIGH,Malware Detected,ASSET-02721,"[""EV-00680""]",AN-00021,CLOSED,4,2026-08-04T12:25:49.764091Z,2026-08-05T10:45:33.764091Z
AL-00047,SOC-001,2026-08-04T14:03:43.071505Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-00956,"[""EV-08922""]",AN-00015,CLOSED,4,2026-08-04T14:03:43.071505Z,2026-08-06T06:24:01.071505Z
AL-00048,SOC-002,2026-08-04T15:55:23.391873Z,EDR,HIGH,Malware Detected,ASSET-01714,"[""EV-07523""]",AN-00030,CLOSED,4,2026-08-04T15:55:23.391873Z,2026-08-07T03:03:40.391873Z
AL-00049,SOC-002,2026-08-04T16:44:07.551760Z,CASE_MANAGEMENT,CRITICAL,Malware Detected,ASSET-02550,"[""EV-07152""]",AN-00022,CLOSED,5,2026-08-04T16:44:07.551760Z,2026-08-06T14:25:53.373287Z
AL-00050,SOC-001,2026-08-04T17:08:40.871679Z,CASE_MANAGEMENT,HIGH,Phishing Attempt,ASSET-00178,"[""EV-00654""]",AN-00013,CLOSED,4,2026-08-04T17:08:40.871679Z,2026-08-05T14:56:59.871679Z
AL-00051,SOC-001,2026-08-04T23:51:41.654066Z,IDS,HIGH,Malware Detected,ASSET-00764,"[""EV-04098""]",AN-00003,CLOSED,4,2026-08-04T23:51:41.654066Z,2026-08-07T01:44:52.654066Z
AL-00052,SOC-002,2026-08-05T00:54:37.761493Z,EDR,HIGH,C2 Beacon,ASSET-01596,"[""EV-05127""]",AN-00023,CLOSED,4,2026-08-05T00:54:37.761493Z,2026-08-09T06:24:41.761493Z
AL-00053,SOC-001,2026-08-05T02:02:09.244804Z,IDS,HIGH,Data Exfiltration Suspicion,ASSET-00080,"[""EV-01678""]",AN-00001,CLOSED,4,2026-08-05T02:02:09.244804Z,2026-08-05T22:09:27.244804Z
AL-00054,SOC-001,2026-08-05T07:50:21.944111Z,CASE_MANAGEMENT,HIGH,Port Scan,ASSET-00778,"[""EV-01150""]",AN-00014,CLOSED,4,2026-08-05T07:50:21.944111Z,2026-08-05T14:29:19.944111Z
AL-00055,SOC-001,2026-08-05T10:55:37.892888Z,IDS,HIGH,Malware Detected,ASSET-00444,"[""EV-08350""]",AN-00018,CLOSED,4,2026-08-05T10:55:37.892888Z,2026-08-06T18:41:46.892888Z
AL-00056,SOC-001,2026-08-05T11:34:51.646002Z,IDS,HIGH,C2 Beacon,ASSET-00513,"[""EV-08532""]",AN-00003,CLOSED,4,2026-08-05T11:34:51.646002Z,2026-08-05T18:59:23.646002Z
AL-00057,SOC-001,2026-08-05T12:31:33.315945Z,SIEM,HIGH,Suspicious Login,ASSET-00877,"[""EV-02755""]",AN-00003,CLOSED,4,2026-08-05T12:31:33.315945Z,2026-08-06T09:44:52.315945Z
AL-00058,SOC-001,2026-08-05T12:32:08.214313Z,FIREWALL,HIGH,Data Exfiltration Suspicion,ASSET-00744,"[""EV-00584""]",AN-00005,CLOSED,4,2026-08-05T12:32:08.214313Z,2026-08-08T19:30:18.214313Z
AL-00059,SOC-002,2026-08-05T15:51:44.867625Z,EDR,HIGH,Malware Detected,ASSET-02450,"[""EV-08619""]",AN-00023,CLOSED,4,2026-08-05T15:51:44.867625Z,2026-08-12T09:07:28.569632Z
AL-00060,SOC-002,2026-08-05T18:56:05.542776Z,SIEM,HIGH,Port Scan,ASSET-01925,"[""EV-03157""]",AN-00029,CLOSED,4,2026-08-05T18:56:05.542776Z,2026-08-10T05:36:53.542776Z
AL-00061,SOC-001,2026-08-05T20:05:26.374648Z,SIEM,CRITICAL,Data Exfiltration Suspicion,ASSET-00080,"[""EV-05027""]",AN-00002,CLOSED,5,2026-08-05T20:05:26.374648Z,2026-08-07T03:01:54.374648Z
AL-00062,SOC-001,2026-08-05T21:16:43.225471Z,IDS,HIGH,Suspicious Login,ASSET-00198,"[""EV-09506""]",AN-00007,CLOSED,4,2026-08-05T21:16:43.225471Z,2026-08-05T22:42:57.297061Z
AL-00063,SOC-001,2026-08-05T21:31:59.713799Z,CASE_MANAGEMENT,HIGH,Suspicious Login,ASSET-00516,"[""EV-07085""]",AN-00018,CLOSED,4,2026-08-05T21:31:59.713799Z,2026-08-06T21:04:18.713799Z
AL-00064,SOC-002,2026-08-05T21:45:05.539337Z,CASE_MANAGEMENT,HIGH,Malware Detected,ASSET-02705,"[""EV-07459""]",AN-00030,CLOSED,4,2026-08-05T21:45:05.539337Z,2026-08-05T23:25:52.899883Z
AL-00065,SOC-001,2026-08-05T21:57:03.220864Z,SIEM,CRITICAL,Phishing Attempt,ASSET-00570,"[""EV-09829""]",AN-00009,CLOSED,5,2026-08-05T21:57:03.220864Z,2026-08-09T11:35:15.770560Z
AL-00066,SOC-001,2026-08-05T22:31:18.853560Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-00630,"[""EV-01643""]",AN-00017,CLOSED,4,2026-08-05T22:31:18.853560Z,2026-08-09T11:35:15.770560Z
AL-00067,SOC-001,2026-08-06T01:55:11.991363Z,EDR,HIGH,Suspicious Login,ASSET-00170,"[""EV-09897""]",AN-00011,CLOSED,4,2026-08-06T01:55:11.991363Z,2026-08-05T23:25:52.899883Z
AL-00068,SOC-001,2026-08-06T05:11:57.901695Z,IDS,CRITICAL,Privilege Abuse,ASSET-00293,"[""EV-06655""]",AN-00003,CLOSED,5,2026-08-06T05:11:57.901695Z,2026-08-07T08:56:28.901695Z
AL-00069,SOC-001,2026-08-06T07:57:24.330279Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-00758,"[""EV-04319""]",AN-00003,CLOSED,4,2026-08-06T07:57:24.330279Z,2026-08-08T00:31:34.330279Z
AL-00070,SOC-001,2026-08-06T09:04:19.787931Z,CASE_MANAGEMENT,HIGH,C2 Beacon,ASSET-00321,"[""EV-00274""]",AN-00004,CLOSED,4,2026-08-06T09:04:19.787931Z,2026-08-07T14:15:52.787931Z
AL-00071,SOC-002,2026-08-06T12:04:52.073550Z,EDR,CRITICAL,Brute Force,ASSET-01584,"[""EV-07720""]",AN-00031,CLOSED,5,2026-08-06T12:04:52.073550Z,2026-08-06T14:25:53.373287Z
AL-00072,SOC-001,2026-08-06T16:30:46.977049Z,EDR,HIGH,Suspicious Login,ASSET-00709,"[""EV-06396""]",AN-00014,CLOSED,4,2026-08-06T16:30:46.977049Z,2026-08-14T08:58:26.199468Z
AL-00073,SOC-002,2026-08-06T23:07:52.627641Z,SIEM,HIGH,Port Scan,ASSET-01793,"[""EV-06549""]",AN-00019,CLOSED,4,2026-08-06T23:07:52.627641Z,2026-08-08T05:43:35.627641Z
AL-00074,SOC-002,2026-08-07T01:24:32.929529Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-02280,"[""EV-05002""]",AN-00023,CLOSED,4,2026-08-07T01:24:32.929529Z,2026-08-07T21:04:56.929529Z
AL-00075,SOC-002,2026-08-07T02:51:03.521171Z,SIEM,HIGH,Data Exfiltration Suspicion,ASSET-02794,"[""EV-07446""]",AN-00020,CLOSED,4,2026-08-07T02:51:03.521171Z,2026-08-08T03:20:46.521171Z
AL-00076,SOC-002,2026-08-07T07:20:51.576085Z,EDR,HIGH,C2 Beacon,ASSET-01739,"[""EV-02282""]",AN-00025,CLOSED,4,2026-08-07T07:20:51.576085Z,2026-08-07T09:18:33.343473Z
AL-00077,SOC-001,2026-08-07T09:28:07.231949Z,EDR,HIGH,Ransomware Behaviour,ASSET-00990,"[""EV-01806""]",AN-00009,CLOSED,4,2026-08-07T09:28:07.231949Z,2026-08-07T21:15:18.231949Z
AL-00078,SOC-002,2026-08-07T11:24:16.192869Z,FIREWALL,HIGH,Brute Force,ASSET-01747,"[""EV-08545""]",AN-00033,CLOSED,4,2026-08-07T11:24:16.192869Z,2026-08-08T23:01:49.192869Z
AL-00079,SOC-002,2026-08-07T13:03:01.111042Z,SIEM,HIGH,Brute Force,ASSET-02583,"[""EV-02276""]",AN-00023,CLOSED,4,2026-08-07T13:03:01.111042Z,2026-08-07T09:18:33.343473Z
AL-00080,SOC-002,2026-08-07T13:29:15.037193Z,CASE_MANAGEMENT,HIGH,Suspicious Login,ASSET-02793,"[""EV-02027""]",AN-00024,CLOSED,4,2026-08-07T13:29:15.037193Z,2026-08-08T13:05:59.037193Z
AL-00081,SOC-001,2026-08-07T15:38:26.165765Z,CASE_MANAGEMENT,HIGH,Suspicious Login,ASSET-00747,"[""EV-07142""]",AN-00008,CLOSED,4,2026-08-07T15:38:26.165765Z,2026-08-08T20:01:26.165765Z
AL-00082,SOC-002,2026-08-07T16:42:24.294696Z,SIEM,HIGH,Brute Force,ASSET-01490,"[""EV-07787""]",AN-00035,CLOSED,4,2026-08-07T16:42:24.294696Z,2026-08-08T03:56:57.294696Z
AL-00083,SOC-002,2026-08-07T16:43:10.933004Z,CASE_MANAGEMENT,CRITICAL,C2 Beacon,ASSET-01545,"[""EV-04443""]",AN-00033,CLOSED,5,2026-08-07T16:43:10.933004Z,2026-08-12T12:32:27.933004Z
AL-00084,SOC-002,2026-08-07T16:53:36.219278Z,CASE_MANAGEMENT,CRITICAL,Ransomware Behaviour,ASSET-02019,"[""EV-02634""]",AN-00034,CLOSED,5,2026-08-07T16:53:36.219278Z,2026-08-08T18:18:17.219278Z
AL-00085,SOC-001,2026-08-07T17:20:13.067966Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-00445,"[""EV-06219""]",AN-00003,CLOSED,4,2026-08-07T17:20:13.067966Z,2026-08-10T04:50:12.067966Z
AL-00086,SOC-001,2026-08-07T17:30:52.305141Z,CASE_MANAGEMENT,HIGH,C2 Beacon,ASSET-00434,"[""EV-08877""]",AN-00005,CLOSED,4,2026-08-07T17:30:52.305141Z,2026-08-07T20:06:32.848883Z
AL-00087,SOC-002,2026-08-07T18:27:12.363103Z,EDR,HIGH,Port Scan,ASSET-02368,"[""EV-07358""]",AN-00030,CLOSED,4,2026-08-07T18:27:12.363103Z,2026-08-08T03:13:38.363103Z
AL-00088,SOC-002,2026-08-07T18:51:28.457566Z,EDR,HIGH,Ransomware Behaviour,ASSET-02446,"[""EV-04203""]",AN-00029,CLOSED,4,2026-08-07T18:51:28.457566Z,2026-08-08T19:58:44.457566Z
AL-00089,SOC-001,2026-08-07T19:07:13.606232Z,CASE_MANAGEMENT,HIGH,Port Scan,ASSET-00827,"[""EV-02578""]",AN-00016,CLOSED,4,2026-08-07T19:07:13.606232Z,2026-08-08T02:09:05.606232Z
AL-00090,SOC-001,2026-08-07T23:51:49.074424Z,SIEM,CRITICAL,Privilege Abuse,ASSET-00894,"[""EV-02773""]",AN-00018,CLOSED,5,2026-08-07T23:51:49.074424Z,2026-08-08T14:28:11.074424Z
AL-00091,SOC-002,2026-08-08T00:02:34.127215Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-01267,"[""EV-07660""]",AN-00022,CLOSED,4,2026-08-08T00:02:34.127215Z,2026-08-14T08:58:26.199468Z
AL-00092,SOC-002,2026-08-08T02:29:11.426074Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-01906,"[""EV-04323""]",AN-00032,CLOSED,4,2026-08-08T02:29:11.426074Z,2026-08-08T21:02:26.426074Z
AL-00093,SOC-001,2026-08-08T05:48:53.929211Z,FIREWALL,HIGH,Privilege Abuse,ASSET-00620,"[""EV-07786""]",AN-00001,CLOSED,4,2026-08-08T05:48:53.929211Z,2026-08-09T00:21:37.929211Z
AL-00094,SOC-001,2026-08-08T07:23:13.400689Z,SIEM,HIGH,Brute Force,ASSET-00250,"[""EV-09911""]",AN-00007,CLOSED,4,2026-08-08T07:23:13.400689Z,2026-08-09T16:48:25.400689Z
AL-00095,SOC-002,2026-08-08T14:06:41.437166Z,EDR,HIGH,Port Scan,ASSET-01797,"[""EV-04921""]",AN-00019,CLOSED,4,2026-08-08T14:06:41.437166Z,2026-08-09T05:25:48.437166Z
AL-00096,SOC-002,2026-08-08T14:14:38.932563Z,EDR,CRITICAL,Data Exfiltration Suspicion,ASSET-01138,"[""EV-04221""]",AN-00030,CLOSED,5,2026-08-08T14:14:38.932563Z,2026-08-11T09:52:48.932563Z
AL-00097,SOC-002,2026-08-08T14:19:02.454925Z,IDS,HIGH,Suspicious Login,ASSET-01523,"[""EV-08964""]",AN-00028,CLOSED,4,2026-08-08T14:19:02.454925Z,2026-08-10T01:56:08.454925Z
AL-00098,SOC-002,2026-08-08T16:45:38.073228Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-02063,"[""EV-08726""]",AN-00030,CLOSED,4,2026-08-08T16:45:38.073228Z,2026-08-09T16:53:58.073228Z
AL-00099,SOC-002,2026-08-08T17:07:45.856809Z,EDR,CRITICAL,Port Scan,ASSET-01521,"[""EV-03812""]",AN-00021,CLOSED,5,2026-08-08T17:07:45.856809Z,2026-08-09T21:44:14.856809Z
AL-00100,SOC-002,2026-08-08T18:15:28.762804Z,EDR,HIGH,Ransomware Behaviour,ASSET-02120,"[""EV-08542""]",AN-00027,CLOSED,4,2026-08-08T18:15:28.762804Z,2026-08-12T01:36:48.762804Z
AL-00101,SOC-002,2026-08-08T18:53:46.279931Z,IDS,HIGH,Malware Detected,ASSET-01395,"[""EV-09890""]",AN-00020,CLOSED,4,2026-08-08T18:53:46.279931Z,2026-08-10T04:41:58.279931Z
AL-00102,SOC-001,2026-08-08T23:37:46.292777Z,EDR,HIGH,Data Exfiltration Suspicion,ASSET-00826,"[""EV-06542""]",AN-00016,CLOSED,4,2026-08-08T23:37:46.292777Z,2026-08-15T13:46:21.292777Z
AL-00103,SOC-001,2026-08-09T01:34:47.261120Z,EDR,HIGH,Suspicious Login,ASSET-00053,"[""EV-02057""]",AN-00008,CLOSED,4,2026-08-09T01:34:47.261120Z,2026-08-09T02:18:16.216305Z
AL-00104,SOC-001,2026-08-09T04:04:46.049548Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-00229,"[""EV-00335""]",AN-00001,CLOSED,4,2026-08-09T04:04:46.049548Z,2026-08-09T15:37:33.049548Z
AL-00105,SOC-002,2026-08-09T05:00:40.820617Z,FIREWALL,HIGH,Data Exfiltration Suspicion,ASSET-02505,"[""EV-07772""]",AN-00031,CLOSED,4,2026-08-09T05:00:40.820617Z,2026-08-09T19:59:00.820617Z
AL-00106,SOC-001,2026-08-09T06:02:23.022989Z,CASE_MANAGEMENT,HIGH,Port Scan,ASSET-00669,"[""EV-07486""]",AN-00011,CLOSED,4,2026-08-09T06:02:23.022989Z,2026-08-09T19:34:40.022989Z
AL-00107,SOC-001,2026-08-09T06:13:25.977650Z,CASE_MANAGEMENT,HIGH,Port Scan,ASSET-00199,"[""EV-08057""]",AN-00017,CLOSED,4,2026-08-09T06:13:25.977650Z,2026-08-10T00:52:53.977650Z
AL-00108,SOC-002,2026-08-09T07:52:06.034367Z,CASE_MANAGEMENT,HIGH,Suspicious Login,ASSET-02505,"[""EV-04857""]",AN-00028,CLOSED,4,2026-08-09T07:52:06.034367Z,2026-08-14T08:58:26.199468Z
AL-00109,SOC-002,2026-08-09T09:48:27.966814Z,EDR,HIGH,Ransomware Behaviour,ASSET-02101,"[""EV-05964""]",AN-00021,CLOSED,4,2026-08-09T09:48:27.966814Z,2026-08-09T11:35:15.770560Z
AL-00110,SOC-001,2026-08-09T12:23:40.364792Z,IDS,HIGH,Suspicious Login,ASSET-00012,"[""EV-06186""]",AN-00017,CLOSED,4,2026-08-09T12:23:40.364792Z,2026-08-09T13:54:19.046083Z
AL-00111,SOC-001,2026-08-09T16:11:46.238358Z,IDS,CRITICAL,Phishing Attempt,ASSET-00207,"[""EV-06840""]",AN-00018,CLOSED,5,2026-08-09T16:11:46.238358Z,2026-08-11T13:38:02.238358Z
AL-00112,SOC-002,2026-08-09T16:21:11.433135Z,FIREWALL,HIGH,Ransomware Behaviour,ASSET-02432,"[""EV-04431""]",AN-00022,CLOSED,4,2026-08-09T16:21:11.433135Z,2026-08-11T14:26:19.433135Z
AL-00113,SOC-001,2026-08-09T18:20:12.592005Z,SIEM,HIGH,Data Exfiltration Suspicion,ASSET-00884,"[""EV-09896""]",AN-00018,CLOSED,4,2026-08-09T18:20:12.592005Z,2026-08-09T20:43:49.291118Z
AL-00114,SOC-001,2026-08-09T20:27:29.242896Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-00003,"[""EV-07579""]",AN-00002,CLOSED,4,2026-08-09T20:27:29.242896Z,2026-08-09T22:19:16.325946Z
AL-00115,SOC-002,2026-08-09T23:11:22.753158Z,CASE_MANAGEMENT,HIGH,Privilege Abuse,ASSET-02580,"[""EV-07344""]",AN-00035,CLOSED,4,2026-08-09T23:11:22.753158Z,2026-08-10T18:28:40.753158Z
