action_id,analyst_id,soc_id,incident_id,action_type,timestamp,duration_seconds,metadata
ACT-00048,AN-00021,SOC-002,INC-00011,CLOSURE,2026-08-14T16:05:55.176005Z,549,{}
ACT-00049,AN-00006,SOC-001,INC-00012,TRIAGE,2026-08-10T00:00:45.381176Z,836,{}
ACT-00050,AN-00006,SOC-001,INC-00012,INVESTIGATION_START,2026-08-10T01:10:59.362817Z,885,{}
ACT-00051,AN-00006,SOC-001,INC-00012,ESCALATION,2026-08-10T01:21:30.926142Z,569,{}
ACT-00052,AN-00006,SOC-001,INC-00012,RESPONSE,2026-08-10T01:22:08.863708Z,76,{}
ACT-00053,AN-00006,SOC-001,INC-00012,CLOSURE,2026-08-10T01:46:31.839695Z,388,{}
ACT-00054,AN-00008,SOC-001,INC-00013,TRIAGE,2026-08-10T19:52:40.543349Z,628,{}
ACT-00055,AN-00008,SOC-001,INC-00013,INVESTIGATION_START,2026-08-10T21:08:48.921824Z,191,{}
ACT-00056,AN-00008,SOC-001,INC-00013,RESPONSE,2026-08-10T21:23:35.519113Z,846,{}
ACT-00057,AN-00008,SOC-001,INC-00013,CLOSURE,2026-08-10T21:35:35.752982Z,854,{}
ACT-00058,AN-00005,SOC-001,INC-00014,TRIAGE,2026-08-12T07:05:50.573286Z,385,{}
ACT-00059,AN-00005,SOC-001,INC-00014,INVESTIGATION_START,2026-08-12T08:12:55.864034Z,151,{}
ACT-00060,AN-00005,SOC-001,INC-00014,RESPONSE,2026-08-12T08:38:32.316305Z,813,{}
ACT-00061,AN-00005,SOC-001,INC-00014,CLOSURE,2026-08-12T09:07:28.569632Z,713,{}
ACT-00062,AN-00023,SOC-002,INC-00015,TRIAGE,2026-08-05T21:45:11.539337Z,546,{}
ACT-00063,AN-00023,SOC-002,INC-00015,INVESTIGATION_START,2026-08-05T22:48:59.602578Z,98,{}
ACT-00064,AN-00023,SOC-002,INC-00015,RESPONSE,2026-08-05T23:06:25.145621Z,862,{}
ACT-00065,AN-00023,SOC-002,INC-00015,CLOSURE,2026-08-05T23:25:52.899883Z,677,{}
ACT-00066,AN-00002,SOC-001,INC-00016,TRIAGE,2026-08-09T18:20:41.592005Z,583,{}
ACT-00067,AN-00002,SOC-001,INC-00016,INVESTIGATION_START,2026-08-09T20:17:42.395958Z,281,{}
ACT-00068,AN-00002,SOC-001,INC-00016,RESPONSE,2026-08-09T20:29:11.691226Z,753,{}
ACT-00069,AN-00002,SOC-001,INC-00016,CLOSURE,2026-08-09T20:43:49.291118Z,548,{}
ACT-00070,AN-00004,SOC-001,INC-00017,TRIAGE,2026-08-05T21:16:51.225471Z,717,{}
ACT-00071,AN-00004,SOC-001,INC-00017,INVESTIGATION_START,2026-08-05T22:04:18.446310Z,657,{}
ACT-00072,AN-00004,SOC-001,INC-00017,RESPONSE,2026-08-05T22:11:48.364837Z,725,{}
ACT-00073,AN-00004,SOC-001,INC-00017,CLOSURE,2026-08-05T22:42:57.297061Z,472,{}
ACT-00074,AN-00012,SOC-001,INC-00018,TRIAGE,2026-08-07T17:31:24.305141Z,858,{}
ACT-00075,AN-00012,SOC-001,INC-00018,INVESTIGATION_START,2026-08-07T19:16:34.162215Z,372,{}
ACT-00076,AN-00012,SOC-001,INC-00018,RESPONSE,2026-08-07T19:40:11.198646Z,465,{}
ACT-00077,AN-00012,SOC-001,INC-00018,CLOSURE,2026-08-07T20:06:32.848883Z,479,{}
ACT-00078,AN-00032,SOC-002,INC-00019,TRIAGE,2026-08-04T05:58:01.613572Z,882,{}
ACT-00079,AN-00032,SOC-002,INC-00019,INVESTIGATION_START,2026-08-04T07:18:13.156163Z,749,{}
ACT-00080,AN-00032,SOC-002,INC-00019,ESCALATION,2026-08-04T07:28:46.156576Z,155,{}
ACT-00081,AN-00032,SOC-002,INC-00019,RESPONSE,2026-08-04T07:28:25.251968Z,74,{}
ACT-00082,AN-00032,SOC-002,INC-00019,CLOSURE,2026-08-04T07:36:10.251968Z,358,{}
ACT-00083,AN-00026,SOC-002,INC-00020,TRIAGE,2026-08-11T06:24:12.150290Z,461,{}
ACT-00084,AN-00026,SOC-002,INC-00020,INVESTIGATION_START,2026-08-11T07:08:51.874141Z,227,{}
ACT-00085,AN-00026,SOC-002,INC-00020,RESPONSE,2026-08-11T07:20:18.390959Z,710,{}
ACT-00086,AN-00026,SOC-002,INC-00020,CLOSURE,2026-08-11T07:44:58.702030Z,158,{}
