event_id,soc_id,timestamp,event_type,source,asset_id,device_id,analyst_id,severity,description,metadata
EV-02959,SOC-001,2026-08-01T01:37:58.249267Z,usb_insert,FIREWALL,ASSET-00075,DEV-00003,,HIGH,usb_insert observed on iot-0074,"{""src_ip"": ""10.174.234.169""}"
EV-00048,SOC-002,2026-08-01T01:41:49.749649Z,network_connection,EDR,ASSET-01365,DEV-00023,,INFO,network_connection observed on iot-0371,"{""src_ip"": ""10.9.212.169""}"
EV-09418,SOC-002,2026-08-01T01:44:50.020022Z,port_scan,CASE_MANAGEMENT,ASSET-02771,DEV-00018,,LOW,port_scan observed on cloud-instance-1777,"{""src_ip"": ""10.163.242.243""}"
EV-01453,SOC-001,2026-08-01T01:55:19.962849Z,auth_success,EDR,ASSET-00261,DEV-00008,,LOW,auth_success observed on network-device-0260,"{""src_ip"": ""10.197.228.87""}"
EV-09508,SOC-002,2026-08-01T01:56:22.393426Z,usb_insert,CASE_MANAGEMENT,ASSET-02547,DEV-00020,,MEDIUM,usb_insert observed on network-device-1553,"{""src_ip"": ""10.242.59.116""}"
EV-03294,SOC-001,2026-08-01T01:56:39.403911Z,process_create,CASE_MANAGEMENT,ASSET-00300,DEV-00010,,INFO,process_create observed on database-0299,"{""src_ip"": ""10.36.182.202""}"
EV-00790,SOC-001,2026-08-01T01:57:49.338219Z,email_gateway_hit,IDS,ASSET-00310,DEV-00002,,LOW,email_gateway_hit observed on cloud-instance-0309,"{""src_ip"": ""10.188.71.241""}"
EV-01417,SOC-001,2026-08-01T02:00:32.405771Z,auth_failure,CASE_MANAGEMENT,ASSET-00556,DEV-00005,,INFO,auth_failure observed on network-device-0555,"{""src_ip"": ""10.95.83.7""}"
EV-09943,SOC-001,2026-08-01T02:01:36.439557Z,port_scan,SIEM,ASSET-00900,DEV-00011,,LOW,port_scan observed on server-0899,"{""src_ip"": ""10.76.44.154""}"
EV-09491,SOC-002,2026-08-01T02:02:01.002787Z,auth_success,EDR,ASSET-01794,DEV-00013,,INFO,auth_success observed on network-device-0800,"{""src_ip"": ""10.62.120.218""}"
EV-06882,SOC-002,2026-08-01T02:05:44.262564Z,usb_insert,EDR,ASSET-02627,DEV-00013,,MEDIUM,usb_insert observed on server-1633,"{""src_ip"": ""10.174.138.234""}"
EV-02740,SOC-001,2026-08-01T02:05:46.795540Z,privilege_escalation,CASE_MANAGEMENT,ASSET-00046,DEV-00005,,HIGH,privilege_escalation observed on database-0045,"{""src_ip"": ""10.245.187.32""}"
EV-05727,SOC-001,2026-08-01T02:07:01.955870Z,port_scan,CASE_MANAGEMENT,ASSET-00955,DEV-00006,,INFO,port_scan observed on cloud-instance-0954,"{""src_ip"": ""10.130.247.29""}"
EV-03885,SOC-002,2026-08-01T02:07:51.726014Z,email_gateway_hit,SIEM,ASSET-02364,DEV-00016,,LOW,email_gateway_hit observed on server-1370,"{""src_ip"": ""10.72.252.115""}"
EV-07271,SOC-002,2026-08-01T02:09:03.060325Z,auth_failure,SIEM,ASSET-01515,DEV-00017,,LOW,auth_failure observed on iot-0521,"{""src_ip"": ""10.9.189.79""}"
EV-04076,SOC-002,2026-08-01T02:13:39.019327Z,auth_success,EDR,ASSET-01231,DEV-00013,,LOW,auth_success observed on database-0237,"{""src_ip"": ""10.220.194.212""}"
EV-06193,SOC-002,2026-08-01T02:14:43.975675Z,network_connection,EDR,ASSET-02538,DEV-00022,,HIGH,network_connection observed on network-device-1544,"{""src_ip"": ""10.226.89.254""}"
EV-07722,SOC-002,2026-08-01T02:16:25.795110Z,process_create,IDS,ASSET-02560,DEV-00014,,HIGH,process_create observed on database-1566,"{""src_ip"": ""10.137.70.83""}"
EV-05000,SOC-001,2026-08-01T02:16:40.442622Z,file_write,CASE_MANAGEMENT,ASSET-00854,DEV-00006,,LOW,file_write observed on workstation-0853,"{""src_ip"": ""10.139.200.224""}"
EV-02548,SOC-001,2026-08-01T02:19:12.350877Z,port_scan,EDR,ASSET-00734,DEV-00008,,INFO,port_scan observed on network-device-0733,"{""src_ip"": ""10.54.34.177""}"
EV-02447,SOC-002,2026-08-01T02:20:01.021046Z,auth_failure,EDR,ASSET-01052,DEV-00013,,INFO,auth_failure observed on server-0058,"{""src_ip"": ""10.47.211.165""}"
EV-04198,SOC-002,2026-08-01T02:21:31.813822Z,auth_failure,CASE_MANAGEMENT,ASSET-01799,DEV-00019,,INFO,auth_failure observed on iot-0805,"{""src_ip"": ""10.226.129.67""}"
EV-01088,SOC-001,2026-08-01T02:23:25.578443Z,dns_query,CASE_MANAGEMENT,ASSET-00818,DEV-00010,,INFO,dns_query observed on cloud-instance-0817,"{""src_ip"": ""10.164.220.24""}"
EV-08529,SOC-001,2026-08-01T02:24:09.590361Z,auth_failure,CASE_MANAGEMENT,ASSET-00624,DEV-00006,,HIGH,auth_failure observed on server-0623,"{""src_ip"": ""10.76.13.29""}"
EV-04102,SOC-001,2026-08-01T02:26:59.344865Z,privilege_escalation,CASE_MANAGEMENT,ASSET-00954,DEV-00005,,LOW,privilege_escalation observed on iot-0953,"{""src_ip"": ""10.86.15.59""}"
EV-09306,SOC-002,2026-08-01T02:27:06.139048Z,email_gateway_hit,EDR,ASSET-02019,DEV-00023,,LOW,email_gateway_hit observed on iot-1025,"{""src_ip"": ""10.92.153.169""}"
EV-08684,SOC-001,2026-08-01T02:27:16.675815Z,email_gateway_hit,SIEM,ASSET-00096,DEV-00011,,MEDIUM,email_gateway_hit observed on cloud-instance-0095,"{""src_ip"": ""10.198.20.160""}"
EV-05675,SOC-002,2026-08-01T02:32:13.743852Z,email_gateway_hit,CASE_MANAGEMENT,ASSET-02175,DEV-00018,,INFO,email_gateway_hit observed on database-1181,"{""src_ip"": ""10.198.186.70""}"
EV-05150,SOC-002,2026-08-01T02:35:00.745296Z,usb_insert,CASE_MANAGEMENT,ASSET-02086,DEV-00015,,INFO,usb_insert observed on server-1092,"{""src_ip"": ""10.150.93.34""}"
EV-04887,SOC-001,2026-08-01T02:35:50.188752Z,usb_insert,SIEM,ASSET-00566,DEV-00011,,MEDIUM,usb_insert observed on server-0565,"{""src_ip"": ""10.249.54.100""}"
EV-01232,SOC-001,2026-08-01T02:38:31.843738Z,email_gateway_hit,IDS,ASSET-00856,DEV-00007,,HIGH,email_gateway_hit observed on iot-0855,"{""src_ip"": ""10.91.95.8""}"
EV-09784,SOC-001,2026-08-01T02:40:52.203085Z,process_create,CASE_MANAGEMENT,ASSET-00438,DEV-00001,,INFO,process_create observed on iot-0437,"{""src_ip"": ""10.240.56.90""}"
EV-08470,SOC-001,2026-08-01T02:41:07.881155Z,privilege_escalation,IDS,ASSET-00848,DEV-00002,,HIGH,privilege_escalation observed on database-0847,"{""src_ip"": ""10.107.95.33""}"
EV-01856,SOC-001,2026-08-01T02:42:34.672708Z,email_gateway_hit,IDS,ASSET-00345,DEV-00007,,CRITICAL,email_gateway_hit observed on workstation-0344,"{""src_ip"": ""10.145.52.80""}"
EV-01096,SOC-001,2026-08-01T02:46:46.489082Z,process_create,EDR,ASSET-00139,DEV-00008,,CRITICAL,process_create observed on cloud-instance-0138,"{""src_ip"": ""10.249.214.54""}"
EV-06621,SOC-001,2026-08-01T02:47:03.609158Z,dns_query,CASE_MANAGEMENT,ASSET-00802,DEV-00009,,MEDIUM,dns_query observed on network-device-0801,"{""src_ip"": ""10.111.210.60""}"
EV-01395,SOC-002,2026-08-01T02:48:36.709524Z,auth_success,SIEM,ASSET-01804,DEV-00016,,LOW,auth_success observed on network-device-0810,"{""src_ip"": ""10.66.44.166""}"
EV-02875,SOC-002,2026-08-01T02:50:00.755430Z,auth_success,CASE_MANAGEMENT,ASSET-02729,DEV-00019,,HIGH,auth_success observed on workstation-1735,"{""src_ip"": ""10.239.38.197""}"
EV-03816,SOC-001,2026-08-01T02:53:39.758754Z,network_connection,EDR,ASSET-00544,DEV-00008,,MEDIUM,network_connection observed on workstation-0543,"{""src_ip"": ""10.227.88.237""}"
EV-01275,SOC-001,2026-08-01T02:53:50.194125Z,auth_failure,FIREWALL,ASSET-00177,DEV-00003,,HIGH,auth_failure observed on iot-0176,"{""src_ip"": ""10.93.180.187""}"
EV-07978,SOC-002,2026-08-01T02:54:47.135601Z,port_scan,SIEM,ASSET-01177,DEV-00016,,MEDIUM,port_scan observed on server-0183,"{""src_ip"": ""10.96.151.10""}"
EV-01845,SOC-002,2026-08-01T02:54:55.651155Z,privilege_escalation,EDR,ASSET-01439,DEV-00013,,MEDIUM,privilege_escalation observed on workstation-0445,"{""src_ip"": ""10.204.172.199""}"
EV-07350,SOC-001,2026-08-01T03:01:23.284126Z,auth_success,SIEM,ASSET-00819,DEV-00004,,LOW,auth_success observed on cloud-instance-0818,"{""src_ip"": ""10.137.222.241""}"
EV-01024,SOC-002,2026-08-01T03:02:05.668163Z,privilege_escalation,CASE_MANAGEMENT,ASSET-02368,DEV-00019,,MEDIUM,privilege_escalation observed on network-device-1374,"{""src_ip"": ""10.152.69.149""}"
EV-06945,SOC-001,2026-08-01T03:02:28.409843Z,privilege_escalation,IDS,ASSET-00913,DEV-00012,,MEDIUM,privilege_escalation observed on network-device-0912,"{""src_ip"": ""10.119.200.51""}"
EV-06100,SOC-002,2026-08-01T03:07:26.897665Z,usb_insert,CASE_MANAGEMENT,ASSET-02617,DEV-00018,,HIGH,usb_insert observed on database-1623,"{""src_ip"": ""10.77.52.114""}"
EV-08223,SOC-001,2026-08-01T03:07:55.933246Z,network_connection,IDS,ASSET-00581,DEV-00012,,HIGH,network_connection observed on server-0580,"{""src_ip"": ""10.237.54.184""}"
EV-03172,SOC-002,2026-08-01T03:08:12.195455Z,auth_failure,SIEM,ASSET-01670,DEV-00017,,LOW,auth_failure observed on server-0676,"{""src_ip"": ""10.240.249.154""}"
EV-06390,SOC-002,2026-08-01T03:08:33.590521Z,process_create,SIEM,ASSET-01918,DEV-00016,,INFO,process_create observed on network-device-0924,"{""src_ip"": ""10.163.98.201""}"
EV-08471,SOC-001,2026-08-01T03:08:42.646447Z,auth_success,CASE_MANAGEMENT,ASSET-00309,DEV-00005,,LOW,auth_success observed on database-0308,"{""src_ip"": ""10.6.139.91""}"
EV-01061,SOC-001,2026-08-01T03:14:23.782878Z,usb_insert,CASE_MANAGEMENT,ASSET-00492,DEV-00009,,LOW,usb_insert observed on cloud-instance-0491,"{""src_ip"": ""10.222.94.81""}"
EV-08027,SOC-001,2026-08-01T03:15:37.281642Z,port_scan,CASE_MANAGEMENT,ASSET-00553,DEV-00006,,MEDIUM,port_scan observed on workstation-0552,"{""src_ip"": ""10.18.99.3""}"
EV-01140,SOC-002,2026-08-01T03:16:07.404355Z,auth_failure,CASE_MANAGEMENT,ASSET-01377,DEV-00015,,MEDIUM,auth_failure observed on server-0383,"{""src_ip"": ""10.85.102.191""}"
EV-03560,SOC-001,2026-08-01T03:21:50.269257Z,process_create,CASE_MANAGEMENT,ASSET-00593,DEV-00001,,INFO,process_create observed on network-device-0592,"{""src_ip"": ""10.13.26.88""}"
EV-08347,SOC-001,2026-08-01T03:22:36.531152Z,privilege_escalation,CASE_MANAGEMENT,ASSET-00256,DEV-00001,,INFO,privilege_escalation observed on database-0255,"{""src_ip"": ""10.114.11.215""}"
EV-01203,SOC-002,2026-08-01T03:26:00.779284Z,auth_failure,IDS,ASSET-02024,DEV-00014,,INFO,auth_failure observed on cloud-instance-1030,"{""src_ip"": ""10.217.38.209""}"
EV-03515,SOC-001,2026-08-01T03:26:33.055531Z,email_gateway_hit,CASE_MANAGEMENT,ASSET-00863,DEV-00006,,INFO,email_gateway_hit observed on iot-0862,"{""src_ip"": ""10.192.56.190""}"
EV-03433,SOC-002,2026-08-01T03:32:05.000796Z,usb_insert,SIEM,ASSET-01996,DEV-00016,,LOW,usb_insert observed on iot-1002,"{""src_ip"": ""10.47.28.170""}"
EV-00324,SOC-001,2026-08-01T03:33:03.600277Z,email_gateway_hit,CASE_MANAGEMENT,ASSET-00433,DEV-00006,,MEDIUM,email_gateway_hit observed on server-0432,"{""src_ip"": ""10.153.175.100""}"
EV-05815,SOC-002,2026-08-01T03:33:43.088179Z,network_connection,EDR,ASSET-01134,DEV-00022,,HIGH,network_connection observed on workstation-0140,"{""src_ip"": ""10.227.89.238""}"
EV-04945,SOC-002,2026-08-01T03:34:16.081270Z,email_gateway_hit,EDR,ASSET-01395,DEV-00013,,MEDIUM,email_gateway_hit observed on workstation-0401,"{""src_ip"": ""10.254.20.108""}"
EV-09607,SOC-002,2026-08-01T03:35:29.419074Z,auth_success,SIEM,ASSET-02775,DEV-00017,,INFO,auth_success observed on workstation-1781,"{""src_ip"": ""10.53.247.72""}"
EV-09382,SOC-002,2026-08-01T03:35:47.499077Z,file_write,SIEM,ASSET-02665,DEV-00017,,MEDIUM,file_write observed on database-1671,"{""src_ip"": ""10.194.168.116""}"
EV-08452,SOC-001,2026-08-01T03:37:46.361920Z,usb_insert,FIREWALL,ASSET-00934,DEV-00003,,HIGH,usb_insert observed on database-0933,"{""src_ip"": ""10.172.5.206""}"
EV-07272,SOC-002,2026-08-01T03:39:18.043445Z,email_gateway_hit,EDR,ASSET-02336,DEV-00021,,MEDIUM,email_gateway_hit observed on workstation-1342,"{""src_ip"": ""10.115.232.126""}"
EV-01337,SOC-002,2026-08-01T03:40:47.567847Z,file_write,EDR,ASSET-02837,DEV-00013,,INFO,file_write observed on database-1843,"{""src_ip"": ""10.73.152.42""}"
EV-08514,SOC-001,2026-08-01T03:43:22.788181Z,usb_insert,CASE_MANAGEMENT,ASSET-00798,DEV-00001,,MEDIUM,usb_insert observed on server-0797,"{""src_ip"": ""10.139.179.38""}"
EV-02609,SOC-001,2026-08-01T03:43:38.594327Z,file_write,SIEM,ASSET-00614,DEV-00004,,INFO,file_write observed on workstation-0613,"{""src_ip"": ""10.184.220.146""}"
EV-06790,SOC-001,2026-08-01T03:43:51.061871Z,process_create,EDR,ASSET-00279,DEV-00008,,INFO,process_create observed on database-0278,"{""src_ip"": ""10.190.164.241""}"
EV-05554,SOC-001,2026-08-01T03:49:23.699821Z,auth_success,SIEM,ASSET-00256,DEV-00011,,LOW,auth_success observed on database-0255,"{""src_ip"": ""10.7.88.153""}"
EV-07628,SOC-002,2026-08-01T03:50:34.814393Z,port_scan,EDR,ASSET-01948,DEV-00023,,MEDIUM,port_scan observed on cloud-instance-0954,"{""src_ip"": ""10.93.71.83""}"
EV-09431,SOC-002,2026-08-01T03:50:49.322354Z,auth_success,IDS,ASSET-01269,DEV-00014,,LOW,auth_success observed on cloud-instance-0275,"{""src_ip"": ""10.48.140.119""}"
EV-08269,SOC-001,2026-08-01T03:51:16.329067Z,auth_failure,FIREWALL,ASSET-00497,DEV-00003,,MEDIUM,auth_failure observed on iot-0496,"{""src_ip"": ""10.98.182.73""}"
EV-08208,SOC-001,2026-08-01T03:58:55.416128Z,auth_failure,CASE_MANAGEMENT,ASSET-00687,DEV-00001,,INFO,auth_failure observed on workstation-0686,"{""src_ip"": ""10.56.31.144""}"
EV-08753,SOC-001,2026-08-01T04:00:58.902433Z,auth_success,CASE_MANAGEMENT,ASSET-00800,DEV-00006,,INFO,auth_success observed on server-0799,"{""src_ip"": ""10.240.78.58""}"
EV-02165,SOC-001,2026-08-01T04:01:21.779082Z,auth_failure,CASE_MANAGEMENT,ASSET-00791,DEV-00009,,HIGH,auth_failure observed on cloud-instance-0790,"{""src_ip"": ""10.211.206.111""}"
EV-03357,SOC-002,2026-08-01T04:02:27.325235Z,usb_insert,CASE_MANAGEMENT,ASSET-01144,DEV-00020,,LOW,usb_insert observed on workstation-0150,"{""src_ip"": ""10.34.122.250""}"
EV-00401,SOC-002,2026-08-01T04:04:13.981172Z,process_create,EDR,ASSET-01445,DEV-00013,,INFO,process_create observed on network-device-0451,"{""src_ip"": ""10.99.214.146""}"
