asset_id,soc_id,hostname,asset_type,ip_address,criticality,business_unit,owner,status
ASSET-00029,SOC-001,cloud-instance-0028,CLOUD_INSTANCE,17.101.226.16,MEDIUM,Engineering,owner-26@corp.internal,ACTIVE
ASSET-00030,SOC-001,server-0029,SERVER,241.12.113.139,LOW,Engineering,owner-38@corp.internal,ACTIVE
ASSET-00031,SOC-001,cloud-instance-0030,CLOUD_INSTANCE,10.44.130.126,MEDIUM,Operations,owner-38@corp.internal,ACTIVE
ASSET-00032,SOC-001,cloud-instance-0031,CLOUD_INSTANCE,133.213.22.149,MEDIUM,HR,owner-14@corp.internal,ACTIVE
ASSET-00033,SOC-001,iot-0032,IOT,183.88.88.141,MEDIUM,HR,owner-26@corp.internal,ACTIVE
ASSET-00034,SOC-001,workstation-0033,WORKSTATION,171.243.227.252,MEDIUM,Operations,owner-21@corp.internal,ACTIVE
ASSET-00035,SOC-001,server-0034,SERVER,2.98.127.115,MEDIUM,Sales,owner-7@corp.internal,ACTIVE
ASSET-00036,SOC-001,server-0035,SERVER,137.162.104.139,HIGH,HR,owner-9@corp.internal,ACTIVE
ASSET-00037,SOC-001,database-0036,DATABASE,225.128.80.129,CRITICAL,Engineering,owner-24@corp.internal,ACTIVE
ASSET-00038,SOC-001,database-0037,DATABASE,40.98.24.184,MEDIUM,Sales,owner-20@corp.internal,ACTIVE
ASSET-00039,SOC-001,cloud-instance-0038,CLOUD_INSTANCE,251.221.207.124,LOW,Research,owner-34@corp.internal,ACTIVE
ASSET-00040,SOC-001,server-0039,SERVER,170.249.21.49,LOW,HR,owner-7@corp.internal,ACTIVE
ASSET-00041,SOC-001,workstation-0040,WORKSTATION,67.180.9.239,HIGH,Finance,owner-36@corp.internal,ACTIVE
ASSET-00042,SOC-001,workstation-0041,WORKSTATION,69.184.156.217,HIGH,Engineering,owner-22@corp.internal,ACTIVE
ASSET-00043,SOC-001,workstation-0042,WORKSTATION,175.255.207.210,MEDIUM,HR,owner-33@corp.internal,ACTIVE
ASSET-00044,SOC-001,network-device-0043,NETWORK_DEVICE,64.73.123.113,LOW,Finance,owner-6@corp.internal,ACTIVE
ASSET-00045,SOC-001,iot-0044,IOT,108.111.118.51,LOW,Finance,owner-1@corp.internal,ACTIVE
ASSET-00046,SOC-001,database-0045,DATABASE,197.104.17.205,HIGH,HR,owner-11@corp.internal,ACTIVE
ASSET-00047,SOC-001,iot-0046,IOT,113.28.33.201,MEDIUM,Operations,owner-36@corp.internal,ACTIVE
ASSET-00048,SOC-001,server-0047,SERVER,28.163.196.72,CRITICAL,Research,owner-10@corp.internal,ACTIVE
ASSET-00049,SOC-001,cloud-instance-0048,CLOUD_INSTANCE,9.57.35.222,LOW,Sales,owner-36@corp.internal,ACTIVE
ASSET-00050,SOC-001,workstation-0049,WORKSTATION,110.6.128.151,HIGH,HR,owner-24@corp.internal,ACTIVE
ASSET-00051,SOC-001,server-0050,SERVER,230.31.236.192,MEDIUM,Research,owner-16@corp.internal,ACTIVE
ASSET-00052,SOC-001,iot-0051,IOT,26.80.174.195,MEDIUM,Sales,owner-27@corp.internal,ACTIVE
ASSET-00053,SOC-001,cloud-instance-0052,CLOUD_INSTANCE,191.221.195.217,HIGH,Engineering,owner-11@corp.internal,ACTIVE
ASSET-00054,SOC-001,workstation-0053,WORKSTATION,225.164.126.16,MEDIUM,Engineering,owner-22@corp.internal,ACTIVE
ASSET-00055,SOC-001,network-device-0054,NETWORK_DEVICE,205.95.72.34,MEDIUM,Research,owner-16@corp.internal,ACTIVE
ASSET-00056,SOC-001,database-0055,DATABASE,40.193.48.145,LOW,Finance,owner-25@corp.internal,ACTIVE
ASSET-00057,SOC-001,server-0056,SERVER,219.204.196.119,MEDIUM,Engineering,owner-30@corp.internal,ACTIVE
ASSET-00058,SOC-001,database-0057,DATABASE,78.32.253.26,LOW,Engineering,owner-15@corp.internal,ACTIVE
ASSET-00059,SOC-001,server-0058,SERVER,168.247.239.90,HIGH,HR,owner-18@corp.internal,ACTIVE
ASSET-00060,SOC-001,server-0059,SERVER,247.134.11.80,LOW,HR,owner-33@corp.internal,ACTIVE
ASSET-00061,SOC-001,network-device-0060,NETWORK_DEVICE,173.244.230.45,LOW,Sales,owner-22@corp.internal,ACTIVE
ASSET-00062,SOC-001,server-0061,SERVER,29.135.9.102,LOW,HR,owner-12@corp.internal,ACTIVE
ASSET-00063,SOC-001,cloud-instance-0062,CLOUD_INSTANCE,246.104.166.23,LOW,Finance,owner-7@corp.internal,ACTIVE
ASSET-00064,SOC-001,cloud-instance-0063,CLOUD_INSTANCE,111.63.146.12,MEDIUM,HR,owner-28@corp.internal,ACTIVE
ASSET-00065,SOC-001,cloud-instance-0064,CLOUD_INSTANCE,251.246.225.111,MEDIUM,Operations,owner-37@corp.internal,ACTIVE
ASSET-00066,SOC-001,workstation-0065,WORKSTATION,65.53.126.140,CRITICAL,Operations,owner-1@corp.internal,ACTIVE
ASSET-00067,SOC-001,cloud-instance-0066,CLOUD_INSTANCE,236.242.126.118,LOW,Research,owner-13@corp.internal,ACTIVE
ASSET-00068,SOC-001,database-0067,DATABASE,110.105.129.163,CRITICAL,Research,owner-22@corp.internal,ACTIVE
ASSET-00069,SOC-001,cloud-instance-0068,CLOUD_INSTANCE,80.92.198.134,MEDIUM,Finance,owner-20@corp.internal,ACTIVE
ASSET-00070,SOC-001,cloud-instance-0069,CLOUD_INSTANCE,79.45.71.150,MEDIUM,HR,owner-26@corp.internal,ACTIVE
ASSET-00071,SOC-001,iot-0070,IOT,75.176.15.32,MEDIUM,Engineering,owner-27@corp.internal,ACTIVE
ASSET-00072,SOC-001,iot-0071,IOT,240.187.172.103,MEDIUM,Research,owner-12@corp.internal,ACTIVE
ASSET-00073,SOC-001,cloud-instance-0072,CLOUD_INSTANCE,145.176.225.217,MEDIUM,Sales,owner-1@corp.internal,ACTIVE
ASSET-00074,SOC-001,database-0073,DATABASE,73.115.45.108,HIGH,Sales,owner-39@corp.internal,ACTIVE
ASSET-00075,SOC-001,iot-0074,IOT,82.126.236.250,MEDIUM,Operations,owner-14@corp.internal,ACTIVE
ASSET-00076,SOC-001,cloud-instance-0075,CLOUD_INSTANCE,121.34.186.194,LOW,Research,owner-11@corp.internal,ACTIVE
ASSET-00077,SOC-001,iot-0076,IOT,21.181.41.8,HIGH,Research,owner-40@corp.internal,ACTIVE
ASSET-00078,SOC-001,database-0077,DATABASE,23.232.57.42,LOW,Engineering,owner-20@corp.internal,ACTIVE
ASSET-00079,SOC-001,workstation-0078,WORKSTATION,206.122.231.246,HIGH,Finance,owner-3@corp.internal,ACTIVE
ASSET-00080,SOC-001,workstation-0079,WORKSTATION,251.227.59.36,MEDIUM,Finance,owner-30@corp.internal,ACTIVE
ASSET-00081,SOC-001,network-device-0080,NETWORK_DEVICE,226.217.222.93,MEDIUM,Engineering,owner-25@corp.internal,ACTIVE
ASSET-00082,SOC-001,network-device-0081,NETWORK_DEVICE,102.79.166.99,HIGH,Research,owner-1@corp.internal,ACTIVE
ASSET-00083,SOC-001,server-0082,SERVER,199.70.143.89,MEDIUM,Engineering,owner-34@corp.internal,ACTIVE
ASSET-00084,SOC-001,network-device-0083,NETWORK_DEVICE,12.219.28.164,MEDIUM,Finance,owner-30@corp.internal,ACTIVE
ASSET-00085,SOC-001,workstation-0084,WORKSTATION,205.41.163.111,MEDIUM,Sales,owner-36@corp.internal,ACTIVE
ASSET-00086,SOC-001,cloud-instance-0085,CLOUD_INSTANCE,81.58.112.82,LOW,Operations,owner-40@corp.internal,ACTIVE
ASSET-00087,SOC-001,iot-0086,IOT,228.91.113.46,MEDIUM,Sales,owner-29@corp.internal,ACTIVE
ASSET-00088,SOC-001,workstation-0087,WORKSTATION,190.96.51.247,LOW,Operations,owner-17@corp.internal,ACTIVE
ASSET-00089,SOC-001,workstation-0088,WORKSTATION,215.1.65.13,MEDIUM,Sales,owner-32@corp.internal,ACTIVE
ASSET-00090,SOC-001,iot-0089,IOT,61.63.55.153,HIGH,Finance,owner-19@corp.internal,ACTIVE
ASSET-00091,SOC-001,workstation-0090,WORKSTATION,69.143.31.25,MEDIUM,Sales,owner-6@corp.internal,ACTIVE
ASSET-00092,SOC-001,workstation-0091,WORKSTATION,38.156.214.150,HIGH,Research,owner-10@corp.internal,ACTIVE
ASSET-00093,SOC-001,iot-0092,IOT,54.197.157.172,CRITICAL,Operations,owner-22@corp.internal,ACTIVE
ASSET-00094,SOC-001,cloud-instance-0093,CLOUD_INSTANCE,119.70.208.186,MEDIUM,Engineering,owner-27@corp.internal,ACTIVE
ASSET-00095,SOC-001,network-device-0094,NETWORK_DEVICE,231.163.126.129,LOW,Research,owner-2@corp.internal,ACTIVE
ASSET-00096,SOC-001,cloud-instance-0095,CLOUD_INSTANCE,97.96.166.180,MEDIUM,HR,owner-20@corp.internal,ACTIVE
ASSET-00097,SOC-001,network-device-0096,NETWORK_DEVICE,218.123.144.149,LOW,Operations,owner-35@corp.internal,ACTIVE
ASSET-00098,SOC-001,iot-0097,IOT,188.16.250.82,MEDIUM,Sales,owner-15@corp.internal,ACTIVE
ASSET-00099,SOC-001,network-device-0098,NETWORK_DEVICE,56.44.4.63,HIGH,Operations,owner-2@corp.internal,ACTIVE
ASSET-00100,SOC-001,network-device-0099,NETWORK_DEVICE,86.12.149.238,MEDIUM,Operations,owner-11@corp.internal,ACTIVE
ASSET-00101,SOC-001,network-device-0100,NETWORK_DEVICE,235.103.20.106,HIGH,Sales,owner-35@corp.internal,ACTIVE
ASSET-00102,SOC-001,server-0101,SERVER,232.44.125.123,MEDIUM,Sales,owner-2@corp.internal,ACTIVE
ASSET-00103,SOC-001,server-0102,SERVER,164.139.61.190,MEDIUM,Operations,owner-12@corp.internal,ACTIVE
ASSET-00104,SOC-001,server-0103,SERVER,66.153.154.164,MEDIUM,Engineering,owner-30@corp.internal,ACTIVE
ASSET-00105,SOC-001,database-0104,DATABASE,86.102.111.159,LOW,Operations,owner-18@corp.internal,ACTIVE
ASSET-00106,SOC-001,network-device-0105,NETWORK_DEVICE,64.148.221.237,LOW,Operations,owner-2@corp.internal,ACTIVE
ASSET-00107,SOC-001,iot-0106,IOT,138.23.93.254,CRITICAL,HR,owner-15@corp.internal,ACTIVE
ASSET-00108,SOC-001,iot-0107,IOT,17.144.249.56,LOW,Research,owner-3@corp.internal,ACTIVE
ASSET-00109,SOC-001,server-0108,SERVER,243.25.193.37,HIGH,Finance,owner-40@corp.internal,ACTIVE
ASSET-00110,SOC-001,workstation-0109,WORKSTATION,61.17.72.2,HIGH,Research,owner-8@corp.internal,ACTIVE
ASSET-00111,SOC-001,cloud-instance-0110,CLOUD_INSTANCE,242.160.52.89,HIGH,Research,owner-17@corp.internal,ACTIVE
ASSET-00112,SOC-001,database-0111,DATABASE,42.244.58.183,MEDIUM,Research,owner-8@corp.internal,ACTIVE
ASSET-00113,SOC-001,workstation-0112,WORKSTATION,246.247.240.204,MEDIUM,Sales,owner-2@corp.internal,ACTIVE
ASSET-00114,SOC-001,database-0113,DATABASE,147.103.106.2,MEDIUM,Operations,owner-26@corp.internal,ACTIVE
ASSET-00115,SOC-001,iot-0114,IOT,50.197.189.137,CRITICAL,Research,owner-16@corp.internal,ACTIVE
ASSET-00116,SOC-001,server-0115,SERVER,178.123.61.144,LOW,Research,owner-39@corp.internal,ACTIVE
ASSET-00117,SOC-001,server-0116,SERVER,203.213.139.246,LOW,Finance,owner-23@corp.internal,ACTIVE
ASSET-00118,SOC-001,cloud-instance-0117,CLOUD_INSTANCE,109.170.46.104,MEDIUM,Finance,owner-33@corp.internal,ACTIVE
ASSET-00119,SOC-001,iot-0118,IOT,87.90.237.44,CRITICAL,Operations,owner-32@corp.internal,ACTIVE
ASSET-00120,SOC-001,server-0119,SERVER,110.251.99.177,LOW,Research,owner-30@corp.internal,ACTIVE
ASSET-00121,SOC-001,iot-0120,IOT,39.42.109.142,MEDIUM,Research,owner-34@corp.internal,ACTIVE
ASSET-00122,SOC-001,iot-0121,IOT,69.36.30.166,MEDIUM,Sales,owner-31@corp.internal,ACTIVE
ASSET-00123,SOC-001,network-device-0122,NETWORK_DEVICE,111.129.207.79,LOW,Sales,owner-18@corp.internal,ACTIVE
ASSET-00124,SOC-001,database-0123,DATABASE,218.9.223.160,HIGH,Finance,owner-18@corp.internal,ACTIVE
ASSET-00125,SOC-001,network-device-0124,NETWORK_DEVICE,62.109.213.139,LOW,Sales,owner-40@corp.internal,ACTIVE
ASSET-00126,SOC-001,iot-0125,IOT,97.5.113.107,MEDIUM,Operations,owner-21@corp.internal,ACTIVE
ASSET-00127,SOC-001,workstation-0126,WORKSTATION,124.208.18.157,HIGH,HR,owner-22@corp.internal,ACTIVE
ASSET-00128,SOC-001,database-0127,DATABASE,225.92.166.102,MEDIUM,HR,owner-36@corp.internal,ACTIVE
ASSET-00129,SOC-001,server-0128,SERVER,132.65.174.253,LOW,Finance,owner-16@corp.internal,ACTIVE
ASSET-00130,SOC-001,iot-0129,IOT,104.11.172.99,MEDIUM,Engineering,owner-31@corp.internal,ACTIVE
ASSET-00131,SOC-001,iot-0130,IOT,182.59.77.195,MEDIUM,Finance,owner-6@corp.internal,ACTIVE
ASSET-00132,SOC-001,database-0131,DATABASE,56.186.138.188,MEDIUM,Engineering,owner-20@corp.internal,ACTIVE
ASSET-00133,SOC-001,iot-0132,IOT,148.224.211.186,MEDIUM,Sales,owner-34@corp.internal,ACTIVE
ASSET-00134,SOC-001,database-0133,DATABASE,108.237.209.93,LOW,Sales,owner-22@corp.internal,ACTIVE
ASSET-00135,SOC-001,database-0134,DATABASE,179.238.77.59,MEDIUM,HR,owner-17@corp.internal,ACTIVE
ASSET-00136,SOC-001,workstation-0135,WORKSTATION,30.227.77.196,LOW,HR,owner-8@corp.internal,ACTIVE
ASSET-00137,SOC-001,iot-0136,IOT,137.46.97.97,LOW,Research,owner-12@corp.internal,ACTIVE
ASSET-00138,SOC-001,workstation-0137,WORKSTATION,55.100.251.218,LOW,HR,owner-38@corp.internal,ACTIVE
ASSET-00139,SOC-001,cloud-instance-0138,CLOUD_INSTANCE,152.199.71.42,HIGH,Finance,owner-13@corp.internal,ACTIVE
ASSET-00140,SOC-001,database-0139,DATABASE,58.60.86.62,MEDIUM,HR,owner-1@corp.internal,ACTIVE
ASSET-00141,SOC-001,iot-0140,IOT,136.189.19.209,HIGH,Finance,owner-4@corp.internal,ACTIVE
ASSET-00142,SOC-001,cloud-instance-0141,CLOUD_INSTANCE,74.201.119.141,MEDIUM,Engineering,owner-32@corp.internal,ACTIVE
ASSET-00143,SOC-001,server-0142,SERVER,223.106.143.147,CRITICAL,HR,owner-31@corp.internal,ACTIVE
ASSET-00144,SOC-001,network-device-0143,NETWORK_DEVICE,112.194.144.63,MEDIUM,Finance,owner-17@corp.internal,ACTIVE
ASSET-00145,SOC-001,network-device-0144,NETWORK_DEVICE,29.52.208.142,LOW,Operations,owner-32@corp.internal,ACTIVE
ASSET-00146,SOC-001,server-0145,SERVER,147.183.168.134,MEDIUM,Finance,owner-10@corp.internal,ACTIVE
ASSET-00147,SOC-001,workstation-0146,WORKSTATION,207.167.1.205,MEDIUM,HR,owner-6@corp.internal,ACTIVE
ASSET-00148,SOC-001,workstation-0147,WORKSTATION,30.82.215.112,MEDIUM,Operations,owner-39@corp.internal,ACTIVE
ASSET-00149,SOC-001,cloud-instance-0148,CLOUD_INSTANCE,202.109.253.161,MEDIUM,Sales,owner-25@corp.internal,ACTIVE
ASSET-00150,SOC-001,network-device-0149,NETWORK_DEVICE,232.147.190.61,MEDIUM,Sales,owner-28@corp.internal,ACTIVE
ASSET-00151,SOC-001,database-0150,DATABASE,145.145.179.99,MEDIUM,Sales,owner-7@corp.internal,ACTIVE
ASSET-00152,SOC-001,workstation-0151,WORKSTATION,160.33.192.202,HIGH,Research,owner-6@corp.internal,ACTIVE
ASSET-00153,SOC-001,workstation-0152,WORKSTATION,61.103.205.233,HIGH,Finance,owner-11@corp.internal,ACTIVE
ASSET-00154,SOC-001,server-0153,SERVER,104.148.155.141,MEDIUM,Sales,owner-31@corp.internal,ACTIVE
ASSET-00155,SOC-001,database-0154,DATABASE,8.91.21.251,HIGH,Research,owner-19@corp.internal,ACTIVE
ASSET-00156,SOC-001,iot-0155,IOT,220.15.47.207,MEDIUM,Research,owner-15@corp.internal,ACTIVE
ASSET-00157,SOC-001,database-0156,DATABASE,201.175.24.248,LOW,Sales,owner-13@corp.internal,ACTIVE
ASSET-00158,SOC-001,network-device-0157,NETWORK_DEVICE,29.97.250.195,MEDIUM,Research,owner-10@corp.internal,ACTIVE
ASSET-00159,SOC-001,database-0158,DATABASE,211.158.25.139,HIGH,Finance,owner-11@corp.internal,ACTIVE
ASSET-00160,SOC-001,database-0159,DATABASE,152.84.206.78,LOW,Sales,owner-19@corp.internal,ACTIVE
ASSET-00161,SOC-001,network-device-0160,NETWORK_DEVICE,31.213.164.35,MEDIUM,HR,owner-26@corp.internal,ACTIVE
ASSET-00162,SOC-001,database-0161,DATABASE,128.30.241.218,MEDIUM,Operations,owner-6@corp.internal,ACTIVE
ASSET-00163,SOC-001,cloud-instance-0162,CLOUD_INSTANCE,10.52.80.252,LOW,Research,owner-21@corp.internal,ACTIVE
ASSET-00164,SOC-001,cloud-instance-0163,CLOUD_INSTANCE,64.24.28.110,CRITICAL,Engineering,owner-37@corp.internal,ACTIVE
ASSET-00165,SOC-001,cloud-instance-0164,CLOUD_INSTANCE,243.102.186.212,CRITICAL,Research,owner-18@corp.internal,ACTIVE
ASSET-00166,SOC-001,cloud-instance-0165,CLOUD_INSTANCE,10.76.159.127,LOW,Engineering,owner-31@corp.internal,ACTIVE
ASSET-00167,SOC-001,cloud-instance-0166,CLOUD_INSTANCE,166.201.83.127,MEDIUM,HR,owner-12@corp.internal,ACTIVE
ASSET-00168,SOC-001,cloud-instance-0167,CLOUD_INSTANCE,111.150.40.130,MEDIUM,Operations,owner-6@corp.internal,ACTIVE
ASSET-00169,SOC-001,network-device-0168,NETWORK_DEVICE,89.19.249.211,MEDIUM,HR,owner-7@corp.internal,ACTIVE
ASSET-00170,SOC-001,workstation-0169,WORKSTATION,84.110.3.90,MEDIUM,Operations,owner-19@corp.internal,ACTIVE
ASSET-00171,SOC-001,iot-0170,IOT,241.248.52.62,MEDIUM,Sales,owner-3@corp.internal,ACTIVE
ASSET-00172,SOC-001,network-device-0171,NETWORK_DEVICE,22.139.22.37,MEDIUM,HR,owner-8@corp.internal,ACTIVE
ASSET-00173,SOC-001,network-device-0172,NETWORK_DEVICE,221.106.199.184,MEDIUM,Finance,owner-35@corp.internal,ACTIVE
ASSET-00174,SOC-001,network-device-0173,NETWORK_DEVICE,105.202.151.210,CRITICAL,Sales,owner-24@corp.internal,ACTIVE
ASSET-00175,SOC-001,cloud-instance-0174,CLOUD_INSTANCE,193.166.66.59,MEDIUM,Operations,owner-4@corp.internal,ACTIVE
ASSET-00176,SOC-001,workstation-0175,WORKSTATION,68.93.204.56,MEDIUM,HR,owner-29@corp.internal,ACTIVE
ASSET-00177,SOC-001,iot-0176,IOT,124.22.18.141,HIGH,Research,owner-39@corp.internal,ACTIVE
ASSET-00178,SOC-001,workstation-0177,WORKSTATION,181.180.83.202,HIGH,Sales,owner-1@corp.internal,ACTIVE
ASSET-00179,SOC-001,cloud-instance-0178,CLOUD_INSTANCE,104.114.19.249,CRITICAL,Finance,owner-30@corp.internal,ACTIVE
ASSET-00180,SOC-001,server-0179,SERVER,165.208.77.83,LOW,Operations,owner-19@corp.internal,ACTIVE
ASSET-00181,SOC-001,cloud-instance-0180,CLOUD_INSTANCE,180.149.219.78,HIGH,Operations,owner-31@corp.internal,ACTIVE
ASSET-00182,SOC-001,workstation-0181,WORKSTATION,116.239.245.69,MEDIUM,Operations,owner-13@corp.internal,ACTIVE
ASSET-00183,SOC-001,cloud-instance-0182,CLOUD_INSTANCE,130.28.19.54,LOW,Engineering,owner-5@corp.internal,ACTIVE
ASSET-00184,SOC-001,database-0183,DATABASE,197.206.9.156,LOW,Operations,owner-22@corp.internal,ACTIVE
ASSET-00185,SOC-001,cloud-instance-0184,CLOUD_INSTANCE,68.101.109.107,LOW,HR,owner-20@corp.internal,ACTIVE
ASSET-00186,SOC-001,cloud-instance-0185,CLOUD_INSTANCE,148.117.219.201,LOW,Operations,owner-10@corp.internal,ACTIVE
ASSET-00187,SOC-001,network-device-0186,NETWORK_DEVICE,137.224.106.179,MEDIUM,HR,owner-36@corp.internal,ACTIVE
ASSET-00188,SOC-001,cloud-instance-0187,CLOUD_INSTANCE,96.144.214.151,MEDIUM,HR,owner-13@corp.internal,ACTIVE
ASSET-00189,SOC-001,iot-0188,IOT,61.34.92.48,MEDIUM,Engineering,owner-27@corp.internal,ACTIVE
ASSET-00190,SOC-001,server-0189,SERVER,81.116.0.248,LOW,Research,owner-25@corp.internal,ACTIVE
ASSET-00191,SOC-001,network-device-0190,NETWORK_DEVICE,253.8.179.44,MEDIUM,Research,owner-10@corp.internal,ACTIVE
ASSET-00192,SOC-001,network-device-0191,NETWORK_DEVICE,246.254.188.14,CRITICAL,Sales,owner-38@corp.internal,ACTIVE
ASSET-00193,SOC-001,database-0192,DATABASE,222.164.174.23,HIGH,Operations,owner-7@corp.internal,ACTIVE
ASSET-00194,SOC-001,cloud-instance-0193,CLOUD_INSTANCE,233.18.180.191,MEDIUM,Research,owner-10@corp.internal,ACTIVE
ASSET-00195,SOC-001,network-device-0194,NETWORK_DEVICE,222.245.118.137,MEDIUM,Engineering,owner-5@corp.internal,ACTIVE
ASSET-00196,SOC-001,network-device-0195,NETWORK_DEVICE,200.18.10.142,LOW,HR,owner-40@corp.internal,ACTIVE
ASSET-00197,SOC-001,iot-0196,IOT,101.193.119.149,MEDIUM,HR,owner-35@corp.internal,ACTIVE
ASSET-00198,SOC-001,network-device-0197,NETWORK_DEVICE,244.66.126.11,MEDIUM,Research,owner-32@corp.internal,ACTIVE
ASSET-00199,SOC-001,cloud-instance-0198,CLOUD_INSTANCE,9.48.174.246,MEDIUM,Engineering,owner-19@corp.internal,ACTIVE
ASSET-00200,SOC-001,workstation-0199,WORKSTATION,191.44.20.160,CRITICAL,Finance,owner-7@corp.internal,ACTIVE
ASSET-00201,SOC-001,network-device-0200,NETWORK_DEVICE,42.150.225.226,MEDIUM,Finance,owner-3@corp.internal,ACTIVE
ASSET-00202,SOC-001,database-0201,DATABASE,203.208.14.242,CRITICAL,HR,owner-24@corp.internal,ACTIVE
ASSET-00203,SOC-001,network-device-0202,NETWORK_DEVICE,37.68.15.224,HIGH,Operations,owner-37@corp.internal,ACTIVE
ASSET-00204,SOC-001,iot-0203,IOT,202.226.142.102,HIGH,Engineering,owner-6@corp.internal,ACTIVE
ASSET-00205,SOC-001,cloud-instance-0204,CLOUD_INSTANCE,222.239.88.15,MEDIUM,Research,owner-16@corp.internal,ACTIVE
ASSET-00206,SOC-001,network-device-0205,NETWORK_DEVICE,233.175.41.157,MEDIUM,Engineering,owner-30@corp.internal,ACTIVE
ASSET-00207,SOC-001,iot-0206,IOT,65.4.168.181,MEDIUM,Research,owner-1@corp.internal,ACTIVE
ASSET-00208,SOC-001,network-device-0207,NETWORK_DEVICE,230.181.169.44,HIGH,Sales,owner-11@corp.internal,ACTIVE
ASSET-00209,SOC-001,server-0208,SERVER,113.21.51.243,LOW,Sales,owner-20@corp.internal,ACTIVE
ASSET-00210,SOC-001,iot-0209,IOT,246.71.137.134,MEDIUM,HR,owner-30@corp.internal,ACTIVE
ASSET-00211,SOC-001,database-0210,DATABASE,50.255.226.148,LOW,Operations,owner-7@corp.internal,ACTIVE
ASSET-00212,SOC-001,workstation-0211,WORKSTATION,97.161.23.41,MEDIUM,Sales,owner-19@corp.internal,ACTIVE
ASSET-00213,SOC-001,iot-0212,IOT,75.148.62.48,CRITICAL,Research,owner-26@corp.internal,ACTIVE
ASSET-00214,SOC-001,database-0213,DATABASE,2.18.181.84,MEDIUM,Research,owner-4@corp.internal,ACTIVE
